iata,airport_name,icao,city,state,country,lat,lon,lat_lon
TMX,Timimoun,DAUT,Timimoun,,Algeria,29.2371006,0.276033014,"29.2371006,0.276033014"
TGR,Touggourt,DAUK,Touggourt,,Algeria,33.06779861,6.088669777,"33.06779861,6.088669777"
DJG,Djanet,DAAJ,Djanet,,Algeria,24.2928009,9.452440262,"24.2928009,9.452440262"
BMW,Bordj Mokhtar,DATM,Bordj Badji Mokhtar,,Algeria,21.375,0.923888981,"21.375,0.923888981"
CFK,Chlef,DAOI,Chlef,,Algeria,36.21269989,1.331769943,"36.21269989,1.331769943"
INF,In Guezzam,DATG,In Guezzam,,Algeria,19.56699944,5.75,"19.56699944,5.75"
TID,Tiaret,DAOB,Tiaret,,Algeria,35.34109879,1.463150024,"35.34109879,1.463150024"
EBH,El Bayadh,DAOY,El Bayadh,,Algeria,33.72166667,1.0925,"33.72166667,1.0925"
MZW,Mecheria,DAAY,Mecheria,,Algeria,33.53590012,-0.242353007,"33.53590012,-0.242353007"
MUW,Mascara,DAOV,Ghriss District,,Algeria,35.20769882,0.147141993,"35.20769882,0.147141993"
PPG,Pago Pago,NSTU,Pago Pago,,American Samoa,-14.33166222,-170.7115031,"-14.33166222,-170.7115031"
LAD,Luanda,NTMD,Luanda,,Angola,-8.858369827,13.23120022,"-8.858369827,13.23120022"
CAB,Cabinda,FNCA,Cabinda,,Angola,-5.596990109,12.18840027,"-5.596990109,12.18840027"
VHC,Saurimo,DNJO,Saurimo,,Angola,-9.689069748,20.43190002,"-9.689069748,20.43190002"
NOV,Huambo,FNHU,Huambo,,Angola,-12.80889988,15.76049995,"-12.80889988,15.76049995"
CBT,Catumbela,FNCT,Catumbela,,Angola,-12.47920036,13.48690033,"-12.47920036,13.48690033"
SDD,Lubango,FNUB,Lubango,,Angola,-14.92469978,13.57499981,"-14.92469978,13.57499981"
VPE,Ondjiva,FNGI,Ngiva,,Angola,-17.0435009,15.68379974,"-17.0435009,15.68379974"
MSZ,Namibe,FNMO,Namibe,,Angola,-15.26119995,12.14680004,"-15.26119995,12.14680004"
DUE,Dundo,WICM,Chitato,,Angola,-7.400889874,20.81850052,"-7.400889874,20.81850052"
SVP,Kuito,FNKU,Kuito,,Angola,-12.40460014,16.94739914,"-12.40460014,16.94739914"
SZA,Soyo,FNSO,Soyo,,Angola,-6.141089916,12.37180042,"-6.141089916,12.37180042"
LUO,Luena,FNUE,Luena,,Angola,-11.76809978,19.89769936,"-11.76809978,19.89769936"
MEG,Malange,PTYA,Malanje,,Angola,-9.525090218,16.31240082,"-9.525090218,16.31240082"
SPP,Menongue,FNME,Menongue,,Angola,-14.6576004,17.71980095,"-14.6576004,17.71980095"
UGO,Uige,WARQ,Uige,,Angola,-7.603069782,15.02779961,"-7.603069782,15.02779961"
AXA,Anguilla,TQPF,The Valley,,Anguilla,18.20479965,-63.05509949,"18.20479965,-63.05509949"
ANU,Antigua,TAPA,St George,,Antigua and Barbuda,17.1367,-61.792702,"17.1367,-61.792702"
EZE,Buenos Aires Ministro Pistarini,SAEZ,Ezeiza,,Argentina,-34.8222,-58.5358,"-34.8222,-58.5358"
AEP,Buenos Aires Aeroparque J. Newbery,SABE,Buenos Aires,,Argentina,-34.5592,-58.4156,"-34.5592,-58.4156"
SFN,Santa Fe (AR) SF,SAAV,Santa Fe,,Argentina,-31.7117,-60.8117,"-31.7117,-60.8117"
RCQ,Reconquista,SATR,Reconquista,,Argentina,-29.2103,-59.68,"-29.2103,-59.68"
MDQ,Mar del Plata,SAZM,Mar del Plata,,Argentina,-37.9342,-57.5733,"-37.9342,-57.5733"
ROS,Rosario (AR) SF,SAAR,Rosario,,Argentina,-32.9036,-60.785,"-32.9036,-60.785"
MDZ,Mendoza,SAME,Mendoza,,Argentina,-32.83169937,-68.79290009,"-32.83169937,-68.79290009"
JUJ,Jujuy,SASJ,San Salvador de Jujuy,,Argentina,-24.39279938,-65.09780121,"-24.39279938,-65.09780121"
CRD,Comodoro Rivadavia,SAVC,Comodoro Rivadavia,,Argentina,-45.7853,-67.4655,"-45.7853,-67.4655"
CPC,San Martin los Andes,SAZY,Chapelco San Martin de los Andes,,Argentina,-40.07540131,-71.13729858,"-40.07540131,-71.13729858"
IGR,Iguazu,SARI,Puerto Iguazu,,Argentina,-25.73730087,-54.47340012,"-25.73730087,-54.47340012"
FMA,Formosa,SARF,Formosa,,Argentina,-26.2127,-58.2281,"-26.2127,-58.2281"
FTE,El Calafate,SAWC,El Calafate,,Argentina,-50.28030014,-72.05310059,"-50.28030014,-72.05310059"
USH,Ushuaia,SAWH,Ushuahia,,Argentina,-54.8433,-68.2958,"-54.8433,-68.2958"
RSA,Santa Rosa (AR) LP,SAZR,Santa Rosa,,Argentina,-36.5882988,-64.27570343,"-36.5882988,-64.27570343"
COR,Cordoba,SACO,Cordoba,,Argentina,-31.32360077,-64.20800018,"-31.32360077,-64.20800018"
IRJ,La Rioja,SANL,La Rioja,,Argentina,-29.38159943,-66.79579926,"-29.38159943,-66.79579926"
LUQ,San Luis,SAOU,San Luis,,Argentina,-33.27320099,-66.35639954,"-33.27320099,-66.35639954"
SDE,Santiago del Estero,SANE,Santiago del Estero,,Argentina,-27.76555634,-64.30999756,"-27.76555634,-64.30999756"
SLA,Salta,SASA,Salta,,Argentina,-24.8560009,-65.48619843,"-24.8560009,-65.48619843"
UAQ,San Juan,SANU,San Juan,,Argentina,-31.57150078,-68.41819763,"-31.57150078,-68.41819763"
REL,Trelew,SAVT,Rawson,,Argentina,-43.2105,-65.2703,"-43.2105,-65.2703"
NQN,Neuquen,SAZN,Neuquen,,Argentina,-38.94900131,-68.15570068,"-38.94900131,-68.15570068"
BHI,Bahia Blanca,SAZB,Bahia Blanca,,Argentina,-38.725,-62.1693,"-38.725,-62.1693"
PSS,Posadas,SARP,Posadas,,Argentina,-27.3858,-55.9707,"-27.3858,-55.9707"
EQS,Esquel,SAVE,Esquel,,Argentina,-42.90800095,-71.13950348,"-42.90800095,-71.13950348"
BRC,San Carlos Bariloche,SAZS,San Carlos de Bariloche,,Argentina,-41.15119934,-71.15750122,"-41.15119934,-71.15750122"
TUC,Tucuman,SANT,San Miguel de Tucuman,,Argentina,-26.84090042,-65.10489655,"-26.84090042,-65.10489655"
VDM,Viedma,SAVV,Viedma Carmen de Patagones,,Argentina,-40.8692,-63.0004,"-40.8692,-63.0004"
RGL,Rio Gallegos,SAWG,Rio Gallegos,,Argentina,-51.6089,-69.3126,"-51.6089,-69.3126"
RCU,Rio Cuarto,SAOC,Rio Cuarto,,Argentina,-33.08509827,-64.26129913,"-33.08509827,-64.26129913"
AFA,San Rafael,SAMR,San Rafael,,Argentina,-34.5882988,-68.40390015,"-34.5882988,-68.40390015"
RGA,Rio Grande (AR) TF,SAWE,Rio Grande,,Argentina,-53.7777,-67.7494,"-53.7777,-67.7494"
PRA,Parana,SAAP,Paran,,Argentina,-31.7948,-60.4804,"-31.7948,-60.4804"
CTC,Catamarca,SANC,Catamarca,,Argentina,-28.59560013,-65.75170136,"-28.59560013,-65.75170136"
RES,Resistencia,SARE,Resistencia,,Argentina,-27.45,-59.0561,"-27.45,-59.0561"
CNQ,Corrientes,SARC,Corrientes,,Argentina,-27.4455,-58.7619,"-27.4455,-58.7619"
EPA,El Palomar,SADP,El Palomar,,Argentina,-34.6099,-58.6126,"-34.6099,-58.6126"
PMY,Puerto Madryn,SAVY,Puerto Madryn,,Argentina,-42.7592,-65.1027,"-42.7592,-65.1027"
RHD,Termas de Rio Hondo,SANH,Rio Hondo,,Argentina,-27.47369957,-64.90550232,"-27.47369957,-64.90550232"
RLO,Merlo,SAOS,Merlo,,Argentina,-32.38470078,-65.18650055,"-32.38470078,-65.18650055"
EVN,Yerevan,UDYZ,Yerevan,,Armenia,40.14730072,44.39590073,"40.14730072,44.39590073"
LWN,Gyumri,UDSG,Gyumri,,Armenia,40.75040054,43.85929871,"40.75040054,43.85929871"
AUA,Aruba,TNCA,Oranjestad,,Aruba,12.50139999,-70.01519775,"12.50139999,-70.01519775"
DRW,Darwin International,YPDN,Darwin,,Australia,-12.41469955,130.8769989,"-12.41469955,130.8769989"
SYD,Sydney Kingsford Smith Apt,YSSY,Sydney,,Australia,-33.94609833,151.177002,"-33.94609833,151.177002"
MEL,Melbourne Airport,YMML,Melbourne,,Australia,-37.6733017,144.8430023,"-37.6733017,144.8430023"
BNE,Brisbane,YBBN,Brisbane,,Australia,-27.38419914,153.1170044,"-27.38419914,153.1170044"
PER,Perth,YPPH,Perth,,Australia,-31.94029999,115.9670029,"-31.94029999,115.9670029"
ADL,Adelaide International,YPAD,Adelaide,,Australia,-34.94499969,138.5310059,"-34.94499969,138.5310059"
CNS,Cairns,YBCS,Cairns,,Australia,-16.88579941,145.7550049,"-16.88579941,145.7550049"
AVV,Melbourne Avalon Airport,YMAV,Melbourne,,Australia,-38.03939819,144.4689941,"-38.03939819,144.4689941"
OOL,Gold Coast,YBCG,Gold Coast,,Australia,-28.1644001,153.5050049,"-28.1644001,153.5050049"
NTL,Newcastle Williamtown Apt,YWLM,Williamtown,,Australia,-32.79499817,151.8339996,"-32.79499817,151.8339996"
AYQ,Ayers Rock,YAYE,Ayers Rock,,Australia,-25.18610001,130.9759979,"-25.18610001,130.9759979"
HBA,Hobart (AU) TS,YMHB,Hobart,,Australia,-42.83610153,147.5099945,"-42.83610153,147.5099945"
LST,Launceston,YMLT,Launceston,,Australia,-41.54529953,147.2140045,"-41.54529953,147.2140045"
MCY,Sunshine Coast,YBMC,Maroochydore,,Australia,-26.60330009,153.0910034,"-26.60330009,153.0910034"
TSV,Townsville,YBTL,Townsville,,Australia,-19.25250053,146.7649994,"-19.25250053,146.7649994"
BNK,Ballina,YBNA,Ballina,,Australia,-28.83390045,153.5619965,"-28.83390045,153.5619965"
PPP,Proserpine,YBPN,Proserpine,,Australia,-20.49500084,148.552002,"-20.49500084,148.552002"
MKY,Mackay,YBMK,Mackay,,Australia,-21.17169952,149.1799927,"-21.17169952,149.1799927"
CBR,Canberra,YSCB,Canberra,,Australia,-35.30690002,149.1950073,"-35.30690002,149.1950073"
KGI,Kalgoorlie-Boulder,YPKG,Kalgoorlie,,Australia,-30.7894001,121.461998,"-30.7894001,121.461998"
PBO,Paraburdoo,YPBO,Paraburdoo,,Australia,-23.17110062,117.7450027,"-23.17110062,117.7450027"
KGC,Kingscote,YKSC,Kangaroo Island Council,,Australia,-35.71390152,137.5209961,"-35.71390152,137.5209961"
LDH,Lord Howe Island,YLHI,Lord Howe Island,,Australia,-31.53829956,159.0769959,"-31.53829956,159.0769959"
KTA,Karratha,YPKA,Karratha,,Australia,-20.71220016,116.7730026,"-20.71220016,116.7730026"
ZNE,Newman,YNWN,Newman,,Australia,-23.4178009,119.8030014,"-23.4178009,119.8030014"
ISA,Mount Isa,YBMA,Mount Isa,,Australia,-20.66390038,139.4889984,"-20.66390038,139.4889984"
BME,Broome,YBRM,Broome,,Australia,-17.94470024,122.2320023,"-17.94470024,122.2320023"
BDB,Bundaberg,YBUD,Bundaberg,,Australia,-24.90390015,152.3190002,"-24.90390015,152.3190002"
GLT,Gladstone,YGLA,Gladstone,,Australia,-23.86969948,151.2230072,"-23.86969948,151.2230072"
EMD,Emerald,YEML,Emerald,,Australia,-23.56749916,148.1790009,"-23.56749916,148.1790009"
PHE,Port Hedland,YPPD,Port Hedland,,Australia,-20.37779999,118.6259995,"-20.37779999,118.6259995"
HTI,Hamilton Island,YBHM,Hamilton Island,,Australia,-20.35810089,148.9519959,"-20.35810089,148.9519959"
ASP,Alice Springs Airport,YBAS,Alice Springs,,Australia,-23.80669975,133.9019928,"-23.80669975,133.9019928"
DPO,Devonport,YDPO,Devonport,,Australia,-41.16970062,146.4299927,"-41.16970062,146.4299927"
CFS,Coffs Harbour,YSCH,Coffs Harbour,,Australia,-30.32060051,153.1159973,"-30.32060051,153.1159973"
TMW,Tamworth,YSTW,Tamworth,,Australia,-31.08390045,150.8470001,"-31.08390045,150.8470001"
ROK,Rockhampton,YBRK,Rockhampton,,Australia,-23.38190079,150.4750061,"-23.38190079,150.4750061"
WYA,Whyalla,YWHA,Whyalla,,Australia,-33.05889893,137.5140076,"-33.05889893,137.5140076"
PQQ,Port Macquarie,YPMQ,Port Macquarie,,Australia,-31.43580055,152.8630066,"-31.43580055,152.8630066"
MRZ,Moree,YMOR,Moree,,Australia,-29.49889946,149.8450012,"-29.49889946,149.8450012"
CNJ,Cloncurry,YCCY,Cloncurry,,Australia,-20.66860008,140.5039978,"-20.66860008,140.5039978"
HVB,Hervey Bay,YHBA,Hervey Bay,,Australia,-25.31889915,152.8800049,"-25.31889915,152.8800049"
ARM,Armidale,YARM,Armidale,,Australia,-30.52809906,151.6170044,"-30.52809906,151.6170044"
ABX,Albury,YMAY,Albury,,Australia,-36.06779861,146.9579926,"-36.06779861,146.9579926"
PLO,Port Lincoln,YPLC,Port Lincoln,,Australia,-34.6053009,135.8800049,"-34.6053009,135.8800049"
MOV,Moranbah,YMRB,Moranbah,,Australia,-22.05780029,148.0769959,"-22.05780029,148.0769959"
WGA,Wagga Wagga,YSWG,Wagga Wagga,,Australia,-35.16529846,147.4660034,"-35.16529846,147.4660034"
LEA,Learmonth,YPLM,Exmouth,,Australia,-22.23559952,114.0889969,"-22.23559952,114.0889969"
WTB,Toowoomba Brisbane West Wellcamp,YBWW,Wellcamp,,Australia,-27.558333,151.793333,"-27.558333,151.793333"
OLP,Olympic Dam,YOLD,Olympic Dam,,Australia,-30.48500061,136.8769989,"-30.48500061,136.8769989"
MQL,Mildura,YMIA,Mildura,,Australia,-34.22919846,142.0859985,"-34.22919846,142.0859985"
WEI,Weipa,YBWP,Weipa,,Australia,-12.67860031,141.9250031,"-12.67860031,141.9250031"
WMB,Warrnambool,YWBL,Shire of Moyne,,Australia,-38.29529953,142.4470062,"-38.29529953,142.4470062"
MEB,Melbourne Essendon Apt,YMEN,Melbourne,,Australia,-37.72809982,144.9019928,"-37.72809982,144.9019928"
FLS,Flinders Island,YFLI,Flinders Council,,Australia,-40.09170151,147.9929962,"-40.09170151,147.9929962"
BWT,Burnie,YWYY,Burnie,,Australia,-40.99890137,145.7310028,"-40.99890137,145.7310028"
KNS,King Island,YKII,King Island Council,,Australia,-39.87749863,143.878006,"-39.87749863,143.878006"
PTJ,Portland (AU) VI,YPOD,Shire of Glenelg,,Australia,-38.31809998,141.470993,"-38.31809998,141.470993"
GOV,Nhulunbuy,YPGV,Nhulunbuy,,Australia,-12.26939964,136.8179932,"-12.26939964,136.8179932"
MNG,Maningrida,YMGD,Maningrida,,Australia,-12.05609989,134.2339935,"-12.05609989,134.2339935"
MCV,Mcarthur River Mine,YMHU,McArthur River Mine,,Australia,-16.44249916,136.0839996,"-16.44249916,136.0839996"
GTE,Groote Eylandt,YGTE,Groote Eylandt,,Australia,-13.97500038,136.4600067,"-13.97500038,136.4600067"
ELC,Elcho Island,YELD,Elcho Island,,Australia,-12.01939964,135.5709991,"-12.01939964,135.5709991"
KNX,Kununurra,YPKU,Kununurra,,Australia,-15.77810001,128.7079926,"-15.77810001,128.7079926"
ONS,Onslow,YOLW,Shire Of Ashburton,,Australia,-21.66830063,115.112999,"-21.66830063,115.112999"
GFN,Grafton,YGFN,Grafton,,Australia,-29.75939941,153.0299988,"-29.75939941,153.0299988"
GFF,Griffith,YGTH,Griffith,,Australia,-34.25080109,146.0670013,"-34.25080109,146.0670013"
DBO,Dubbo,YSDU,Dubbo,,Australia,-32.21670151,148.5749969,"-32.21670151,148.5749969"
MYA,Moruya,YMRY,Moruya,,Australia,-35.89780045,150.1439972,"-35.89780045,150.1439972"
MIM,Merimbula,YMER,Merimbula,,Australia,-36.90859985,149.901001,"-36.90859985,149.901001"
ALH,Albany (AU) WA,YABA,Albany,,Australia,-34.94329834,117.8089981,"-34.94329834,117.8089981"
LSY,Lismore,YLIS,Lismore,,Australia,-28.83029938,153.2599945,"-28.83029938,153.2599945"
EPR,Esperance,YESP,Shire Of Esperance,,Australia,-33.68439865,121.822998,"-33.68439865,121.822998"
OOM,Cooma,YCOM,Cooma,,Australia,-36.30059814,148.973999,"-36.30059814,148.973999"
NRA,Narrandera,YNAR,Narrandera,,Australia,-34.70220184,146.5119934,"-34.70220184,146.5119934"
BHQ,Broken Hill,YBHI,Broken Hill,,Australia,-32.00139999,141.4720001,"-32.00139999,141.4720001"
GET,Geraldton (AU) WA,YGEL,Geraldton,,Australia,-28.79610062,114.7070007,"-28.79610062,114.7070007"
GTS,The Granites,YGDW,Anangu Pitjantjatjara Yankunytjatjara,,Australia,-26.94829941,133.6069946,"-26.94829941,133.6069946"
WOL,Wollongong,YWOL,Shellharbour City Council,,Australia,-34.56110001,150.7890015,"-34.56110001,150.7890015"
NAA,Narrabri,YNBR,Narrabri,,Australia,-30.31920052,149.8269959,"-30.31920052,149.8269959"
ZBL,Biloela,,Biloela,,Australia,-24.4,150.51,"-24.4,150.51"
OAG,Orange,YORG,Orange,,Australia,-33.38169861,149.1329956,"-33.38169861,149.1329956"
FIZ,Fitzroy Crossing,YFTZ,Shire Of Derby-West Kimberley,,Australia,-18.18190002,125.5589981,"-18.18190002,125.5589981"
LNO,Leonora,YLEO,Leonora,,Australia,-28.87809944,121.3150024,"-28.87809944,121.3150024"
MMG,Mount Magnet,YMOG,Shire Of Mount Magnet,,Australia,-28.11610031,117.8420029,"-28.11610031,117.8420029"
WUN,Wiluna,YWLU,Shire Of Wiluna,,Australia,-26.62919998,120.2210007,"-26.62919998,120.2210007"
LVO,Laverton,YLTN,Shire Of Laverton,,Australia,-28.61359978,122.4240036,"-28.61359978,122.4240036"
MKR,Meekatharra,YMEK,Shire Of Meekatharra,,Australia,-26.61170006,118.5479965,"-26.61170006,118.5479965"
BKQ,Blackall,YBCK,Blackall,,Australia,-24.42779922,145.4290009,"-24.42779922,145.4290009"
CTL,Charleville,YBCV,Charleville,,Australia,-26.41329956,146.2619934,"-26.41329956,146.2619934"
RMA,Roma,YROM,Roma,,Australia,-26.54500008,148.7749939,"-26.54500008,148.7749939"
LRE,Longreach,YLRE,Longreach,,Australia,-23.43420029,144.2799988,"-23.43420029,144.2799988"
HID,Horn Island,YHID,Horn Island,,Australia,-10.58640003,142.2899933,"-10.58640003,142.2899933"
IRG,Lockhart River,YLHR,Lockhart River Aboriginal Shire,,Australia,-12.78689957,143.3049927,"-12.78689957,143.3049927"
KWM,Kowanyama,YKOW,Kowanyama,,Australia,-15.48560047,141.7510071,"-15.48560047,141.7510071"
AUU,Aurukun,YAUR,Aurukun Shire,,Australia,-13.35389996,141.720993,"-13.35389996,141.720993"
ABM,Bamaga,YBAM,Torres Shire,,Australia,-10.95079994,142.4589996,"-10.95079994,142.4589996"
EDR,Pormpuraaw,YPMP,Pormpuraaw Aboriginal Shire,,Australia,-14.89669991,141.6089935,"-14.89669991,141.6089935"
TCA,Tennant Creek,YTNK,Tennant Creek,,Australia,-19.63439941,134.1829987,"-19.63439941,134.1829987"
MGB,Mount Gambier,YMTG,The District Council of Grant,,Australia,-37.74560165,140.7850037,"-37.74560165,140.7850037"
BUC,Burketown,YBKT,Burke Shire,,Australia,-17.74860001,139.5339966,"-17.74860001,139.5339966"
BQL,Boulia,YBOU,Boulia Shire,,Australia,-22.91329956,139.8999939,"-22.91329956,139.8999939"
WNR,Windorah,YWDH,Barcoo Shire,,Australia,-25.41309929,142.6670074,"-25.41309929,142.6670074"
BHS,Bathurst (AU) NS,YBTH,Bathurst,,Australia,-33.40940094,149.6519928,"-33.40940094,149.6519928"
MJK,Monkey Mia,YSHK,Monkey Mia,,Australia,-25.89389992,113.5770035,"-25.89389992,113.5770035"
CED,Ceduna,YCDU,The District Council of Ceduna,,Australia,-32.13059998,133.7100067,"-32.13059998,133.7100067"
PKE,Parkes,YPKS,Parkes,,Australia,-33.13140106,148.2389984,"-33.13140106,148.2389984"
JCK,Julia Creek,YJLC,McKinlay Shire,,Australia,-20.66830063,141.7230072,"-20.66830063,141.7230072"
RCM,Richmond (AU) QL,YRMD,Richmond Shire,,Australia,-20.70190048,143.1150055,"-20.70190048,143.1150055"
DMD,Doomadgee Mission,YDMG,Doomadgee Aboriginal Shire,,Australia,-17.94029999,138.8220062,"-17.94029999,138.8220062"
NTN,Normanton,YNTN,Carpentaria Shire,,Australia,-17.68359947,141.0700073,"-17.68359947,141.0700073"
BVI,Birdsville,YBDV,Diamantina Shire,,Australia,-25.89749908,139.3480072,"-25.89749908,139.3480072"
ULP,Quilpie,YQLP,Quilpie Shire,,Australia,-26.61219978,144.253006,"-26.61219978,144.253006"
HGD,Hughenden,YHUG,Flinders Shire,,Australia,-20.81500053,144.2250061,"-20.81500053,144.2250061"
CVQ,Carnarvon,YCAR,Shire Of Carnarvon,,Australia,-24.88059998,113.6719971,"-24.88059998,113.6719971"
ONG,Mornington Island,YMTI,Mornington Shire,,Australia,-16.66250038,139.1779938,"-16.66250038,139.1779938"
BEU,Bedourie,YBIE,Diamantina Shire,,Australia,-24.34609985,139.4600067,"-24.34609985,139.4600067"
RVT,Ravensthorpe,YNRV,Shire Of Ravensthorpe,,Australia,-33.79719925,120.2080002,"-33.79719925,120.2080002"
HCQ,Halls Creek,YHLC,Shire Of Halls Creek,,Australia,-18.23390007,127.6699982,"-18.23390007,127.6699982"
CUQ,Coen,YCOE,Cook Shire,,Australia,-13.76080036,143.1139984,"-13.76080036,143.1139984"
KTR,Katherine,YPTN,Tindal,,Australia,-14.52110004,132.378006,"-14.52110004,132.378006"
IVR,Inverell,YIVL,Inverell Shire Council,,Australia,-29.88829994,151.1439972,"-29.88829994,151.1439972"
MGT,Milingimbi Island,YMGB,Milingimbi Island,,Australia,-12.09440041,134.8939972,"-12.09440041,134.8939972"
CPD,Coober Pedy,YCBP,The District Council of Coober Pedy,,Australia,-29.04000092,134.720993,"-29.04000092,134.720993"
BXG,Bendigo,YBDG,Bendigo,,Australia,-36.73939896,144.3300018,"-36.73939896,144.3300018"
PUG,Port Augusta,YPAG,Port Augusta West,,Australia,-32.50690079,137.7169952,"-32.50690079,137.7169952"
XTG,Thargomindah,YTGM,Bulloo Shire,,Australia,-27.9864006,143.8110046,"-27.9864006,143.8110046"
SGO,St George (AU) QL,YSGE,Balonne Shire,,Australia,-28.04969978,148.5950012,"-28.04969978,148.5950012"
CMA,Cunnamulla,YCMU,Paroo Shire,,Australia,-28.03000069,145.621994,"-28.03000069,145.621994"
BCI,Barcaldine,YBAR,Barcaldine,,Australia,-23.56529999,145.3070068,"-23.56529999,145.3070068"
LER,Leinster,YLST,Shire Of Leonora,,Australia,-27.84329987,120.7030029,"-27.84329987,120.7030029"
PHQ,Phosphate Hill,YTMO,"Queensland , Cloncurry",,Australia,-21.81110001,139.923996,"-21.81110001,139.923996"
TQP,Trepell,YTEE,"Queensland , McKinlay",,Australia,-21.83499908,140.8880005,"-21.83499908,140.8880005"
MOO,Moomba,YOOM,Gidgealpa,,Australia,-28.09939957,140.1970062,"-28.09939957,140.1970062"
CJF,Coondewanna,YCWA,Shire Of East Pilbara,,Australia,-22.966667,118.813333,"-22.966667,118.813333"
TEF,Telfer,YTEF,Shire Of East Pilbara,,Australia,-21.71500015,122.2289963,"-21.71500015,122.2289963"
BYP,Barimunya,YBRY,"Western Australia , East Pilbara",,Australia,-22.6739006,119.1660004,"-22.6739006,119.1660004"
